ID,RegioS,Perioden,Totaal_2,Reactietijd0Tot15Minuten_3,Reactietijd15Tot30Minuten_4,Reactietijd30Tot45Minuten_5,Reactietijd45Tot60Minuten_6,Reactietijd60Tot120Minuten_7,ReactietijdMeerDan120Minuten_8
3685,GM0209,2020JJ00,339,270,56,9,3,0,1
3708,GM0375,2015JJ00,728,660,50,9,1,6,2
3721,GM0375,2016JJ00,1107,991,80,17,8,8,3
3734,GM0375,2017JJ00,969,875,62,17,4,8,3
3747,GM0375,2018JJ00,886,793,58,19,5,11,0
3760,GM0375,2019JJ00,872,766,68,25,7,4,2
3773,GM0375,2020JJ00,785,669,83,16,8,6,3
3796,GM0063,2015JJ00,98,81,13,3,1,0,0
3809,GM0063,2016JJ00,90,76,9,3,1,1,0
3822,GM0063,2017JJ00,66,55,9,0,1,1,0
3835,GM0063,2018JJ00,0,0,0,0,0,0,0
3848,GM0063,2019JJ00,0,0,0,0,0,0,0
3861,GM0063,2020JJ00,0,0,0,0,0,0,0
3884,GM0310,2015JJ00,534,496,30,7,1,0,0
3897,GM0310,2016JJ00,629,573,46,7,0,2,1
3910,GM0310,2017JJ00,787,709,61,8,5,2,2
3923,GM0310,2018JJ00,670,617,44,7,0,1,1
3936,GM0310,2019JJ00,637,568,55,7,2,5,0
3949,GM0310,2020JJ00,672,607,52,5,5,2,1
3972,GM0585,2015JJ00,307,279,24,3,0,0,1
3985,GM0585,2016JJ00,388,325,48,7,1,5,2
3998,GM0585,2017JJ00,354,300,46,3,2,2,1
4011,GM0585,2018JJ00,339,275,54,6,2,1,1
4024,GM0585,2019JJ00,4,3,1,0,0,0,0
4037,GM0585,2020JJ00,0,0,0,0,0,0,0
4060,GM1728,2015JJ00,285,197,71,8,4,4,1
4073,GM1728,2016JJ00,326,210,97,10,3,4,1
4086,GM1728,2017JJ00,281,200,70,6,2,1,2
4099,GM1728,2018JJ00,299,220,69,5,2,3,0
4112,GM1728,2019JJ00,269,210,53,5,1,0,0
4125,GM1728,2020JJ00,304,213,74,12,0,4,1
4148,GM0376,2015JJ00,177,156,17,3,0,0,1
4161,GM0376,2016JJ00,156,136,16,1,1,1,1
4174,GM0376,2017JJ00,189,162,20,5,0,2,0
4187,GM0376,2018JJ00,159,131,18,5,2,3,0
4200,GM0376,2019JJ00,174,152,14,4,2,2,0
4213,GM0376,2020JJ00,162,145,12,3,2,0,0
4236,GM0377,2015JJ00,340,304,23,12,0,1,0
4249,GM0377,2016JJ00,609,542,60,4,1,0,2
4262,GM0377,2017JJ00,530,465,49,9,5,2,0
4275,GM0377,2018JJ00,453,383,53,9,4,3,1
4288,GM0377,2019JJ00,425,368,42,5,6,4,0
4301,GM0377,2020JJ00,358,305,39,9,3,2,0
4324,GM1901,2015JJ00,365,245,106,4,3,4,3
4337,GM1901,2016JJ00,359,264,83,3,7,1,1
4350,GM1901,2017JJ00,477,381,84,6,4,2,0
4363,GM1901,2018JJ00,431,346,78,1,1,5,0
4376,GM1901,2019JJ00,421,319,89,10,2,1,0
4389,GM1901,2020JJ00,462,344,88,19,5,3,3
4412,GM0755,2015JJ00,59,43,11,5,0,0,0
4425,GM0755,2016JJ00,102,78,20,3,1,0,0
4438,GM0755,2017JJ00,93,68,21,2,1,1,0
4451,GM0755,2018JJ00,94,71,16,3,1,2,1
4464,GM0755,2019JJ00,104,75,23,0,4,2,0
4477,GM0755,2020JJ00,99,76,17,5,1,0,0
4500,GM0009,2015JJ00,67,40,20,5,1,1,0
4513,GM0009,2016JJ00,80,55,20,2,1,2,0
4526,GM0009,2017JJ00,53,39,10,2,2,0,0
4539,GM0009,2018JJ00,71,49,18,4,0,0,0
4552,GM0009,2019JJ00,1,1,0,0,0,0,0
4565,GM0009,2020JJ00,0,0,0,0,0,0,0
4588,GM1681,2015JJ00,296,215,61,17,1,2,0
4601,GM1681,2016JJ00,303,233,57,12,1,0,0
4614,GM1681,2017JJ00,263,206,48,7,1,1,0
4627,GM1681,2018JJ00,249,201,39,3,3,3,0
4640,GM1681,2019JJ00,248,185,42,18,1,2,0
4653,GM1681,2020JJ00,271,205,51,9,2,2,2
4676,GM0147,2015JJ00,188,166,20,2,0,0,0
4689,GM0147,2016JJ00,180,146,28,3,2,1,0
4702,GM0147,2017JJ00,224,191,24,8,0,1,0
4715,GM0147,2018JJ00,206,187,14,3,0,1,1
4728,GM0147,2019JJ00,163,139,16,6,1,0,1
4741,GM0147,2020JJ00,177,155,16,6,0,0,0
4764,GM0654,2015JJ00,242,167,66,4,2,3,0
4777,GM0654,2016JJ00,188,121,56,6,1,4,0
4790,GM0654,2017JJ00,246,162,72,8,2,2,0
4803,GM0654,2018JJ00,245,179,49,13,1,2,1
4816,GM0654,2019JJ00,250,167,74,5,2,2,0
4829,GM0654,2020JJ00,244,160,66,14,2,1,1
4852,GM0756,2015JJ00,366,304,44,7,2,8,1
4865,GM0756,2016JJ00,496,424,56,11,3,2,0
4878,GM0756,2017JJ00,470,352,98,12,4,3,1
4891,GM0756,2018JJ00,542,396,123,12,8,2,1
4904,GM0756,2019JJ00,568,393,149,12,6,6,2
4917,GM0756,2020JJ00,556,366,152,26,2,9,1
4940,GM0757,2015JJ00,477,388,71,10,4,4,0
4953,GM0757,2016JJ00,599,489,84,19,3,3,1
4966,GM0757,2017JJ00,549,437,84,14,5,6,3
4979,GM0757,2018JJ00,558,440,91,17,5,5,0
4992,GM0757,2019JJ00,605,466,109,19,7,3,1
5005,GM0757,2020JJ00,540,444,72,14,5,5,0
5028,GM0758,2015JJ00,2459,2206,186,36,17,10,4
5041,GM0758,2016JJ00,2759,2391,254,58,26,27,3
5054,GM0758,2017JJ00,2948,2584,259,55,25,19,5
5067,GM0758,2018JJ00,3542,3040,376,72,22,27,5
5080,GM0758,2019JJ00,4264,3646,451,96,28,34,9
5093,GM0758,2020JJ00,4008,3433,425,70,29,31,19
5116,GM0501,2015JJ00,570,397,139,22,3,5,4
5129,GM0501,2016JJ00,463,357,86,12,3,4,1
5142,GM0501,2017JJ00,256,208,37,5,4,1,1
5155,GM0501,2018JJ00,250,214,31,5,0,0,0
5168,GM0501,2019JJ00,224,185,29,5,3,1,1
5181,GM0501,2020JJ00,238,176,50,7,2,2,1
5204,GM1876,2015JJ00,233,171,57,3,0,1,1
5217,GM1876,2016JJ00,281,208,60,10,1,1,1
5230,GM1876,2017JJ00,245,194,42,6,0,3,0
5243,GM1876,2018JJ00,259,207,47,2,2,1,0
5256,GM1876,2019JJ00,238,192,40,3,2,1,0
5269,GM1876,2020JJ00,208,154,48,3,2,0,1
5292,GM0213,2015JJ00,132,113,16,0,1,1,1
5305,GM0213,2016JJ00,201,153,37,7,1,2,1
5318,GM0213,2017JJ00,191,157,25,2,4,3,0
5331,GM0213,2018JJ00,215,160,43,7,2,3,0
5344,GM0213,2019JJ00,196,134,53,7,0,2,0
5357,GM0213,2020JJ00,178,130,40,4,2,2,0
5380,GM0899,2015JJ00,303,246,47,8,2,0,0
5393,GM0899,2016JJ00,330,270,43,12,1,1,3
5406,GM0899,2017JJ00,317,271,32,10,2,2,0
5419,GM0899,2018JJ00,398,344,42,8,1,1,2
5432,GM0899,2019JJ00,446,392,39,7,4,2,2
5445,GM0899,2020JJ00,390,353,29,5,1,2,0
5468,GM0312,2015JJ00,188,173,14,1,0,0,0
5481,GM0312,2016JJ00,216,196,13,4,2,1,0
5494,GM0312,2017JJ00,234,217,17,0,0,0,0
5507,GM0312,2018JJ00,227,211,13,1,0,2,0
5520,GM0312,2019JJ00,214,195,14,3,0,2,0
5533,GM0312,2020JJ00,188,168,18,1,1,0,0
5556,GM0313,2015JJ00,177,160,15,1,1,0,0
5569,GM0313,2016JJ00,227,190,25,6,1,2,0
5582,GM0313,2017JJ00,239,217,20,0,2,0,0
5595,GM0313,2018JJ00,219,191,24,4,0,0,0
5608,GM0313,2019JJ00,230,209,15,4,1,1,0
5621,GM0313,2020JJ00,265,229,26,8,2,0,0
5644,GM0214,2015JJ00,307,228,62,10,2,2,3
5657,GM0214,2016JJ00,311,248,48,5,6,3,1
5670,GM0214,2017JJ00,325,246,63,9,4,3,0
5683,GM0214,2018JJ00,318,241,63,10,3,1,0
5696,GM0214,2019JJ00,286,224,51,7,4,0,0
5709,GM0214,2020JJ00,301,204,80,12,4,1,0
5732,GM0381,2015JJ00,0,0,0,0,0,0,0
5745,GM0381,2016JJ00,0,0,0,0,0,0,0
5758,GM0381,2017JJ00,0,0,0,0,0,0,0
5771,GM0381,2018JJ00,0,0,0,0,0,0,0
5784,GM0381,2019JJ00,0,0,0,0,0,0,0
5797,GM0381,2020JJ00,0,0,0,0,0,0,0
5820,GM0502,2015JJ00,2694,2205,387,50,25,21,6
5833,GM0502,2016JJ00,2063,1682,274,52,17,29,8
5846,GM0502,2017JJ00,1305,1065,163,36,17,17,7
5859,GM0502,2018JJ00,1109,936,126,17,12,12,6
5872,GM0502,2019JJ00,1096,931,96,35,12,16,6
5885,GM0502,2020JJ00,1108,935,117,23,11,15,7
5908,GM0383,2015JJ00,359,292,54,11,0,2,0
5921,GM0383,2016JJ00,543,448,78,10,3,2,2
5934,GM0383,2017JJ00,583,489,69,12,7,6,0
5947,GM0383,2018JJ00,504,432,53,13,3,1,2
5960,GM0383,2019JJ00,446,378,54,8,0,6,0
5973,GM0383,2020JJ00,333,254,49,16,3,9,2
5996,GM0109,2015JJ00,510,358,127,18,2,2,3
6009,GM0109,2016JJ00,582,419,137,18,3,5,0
6022,GM0109,2017JJ00,525,387,113,16,5,4,0
6035,GM0109,2018JJ00,487,384,84,10,4,5,0
6048,GM0109,2019JJ00,535,403,106,17,3,6,0
6061,GM0109,2020JJ00,477,346,112,8,5,6,0
6084,GM1706,2015JJ00,302,234,47,13,4,3,1
6097,GM1706,2016JJ00,396,298,79,8,8,2,1
6110,GM1706,2017JJ00,349,277,59,7,1,4,1
6123,GM1706,2018JJ00,460,353,89,13,3,2,0
6136,GM1706,2019JJ00,446,345,76,17,4,3,1
6149,GM1706,2020JJ00,423,317,91,8,2,5,0
6172,GM0611,2015JJ00,151,129,16,4,2,0,0
6185,GM0611,2016JJ00,161,130,29,1,0,0,1
6198,GM0611,2017JJ00,193,152,37,4,0,0,0
6211,GM0611,2018JJ00,162,119,32,8,2,1,0
6224,GM0611,2019JJ00,5,4,1,0,0,0,0
6237,GM0611,2020JJ00,0,0,0,0,0,0,0
6260,GM1684,2015JJ00,351,313,24,9,2,3,0
6273,GM1684,2016JJ00,376,319,40,8,2,6,1
6286,GM1684,2017JJ00,432,355,56,12,3,5,1
6299,GM1684,2018JJ00,485,397,65,11,5,5,1
6312,GM1684,2019JJ00,412,350,51,8,0,1,2
6325,GM1684,2020JJ00,398,329,55,10,2,2,0
6348,GM0216,2015JJ00,492,406,61,10,6,8,1
6361,GM0216,2016JJ00,517,433,61,14,5,3,1
6374,GM0216,2017JJ00,509,438,44,13,8,3,3
6387,GM0216,2018JJ00,499,430,47,13,4,4,1
6400,GM0216,2019JJ00,356,303,44,3,2,4,0
6413,GM0216,2020JJ00,360,302,44,7,2,4,1
6436,GM0148,2015JJ00,175,141,30,3,0,0,1
6449,GM0148,2016JJ00,183,151,30,1,1,0,0
6462,GM0148,2017JJ00,183,143,27,10,1,2,0
6475,GM0148,2018JJ00,162,118,35,4,1,4,0
6488,GM0148,2019JJ00,190,156,27,3,2,1,1
6501,GM0148,2020JJ00,157,119,35,2,0,1,0
6524,GM1891,2015JJ00,156,116,32,5,1,2,0
6537,GM1891,2016JJ00,166,134,25,4,3,0,0
6550,GM1891,2017JJ00,180,153,22,3,1,1,0
6563,GM1891,2018JJ00,191,143,36,5,4,2,1
6576,GM1891,2019JJ00,165,136,21,7,1,0,0
6589,GM1891,2020JJ00,146,124,19,2,0,1,0
6612,GM0503,2015JJ00,1649,1523,92,15,6,4,7
6625,GM0503,2016JJ00,1402,1269,102,12,6,9,4
6638,GM0503,2017JJ00,1464,1311,118,18,7,7,3
6651,GM0503,2018JJ00,1679,1499,136,22,7,10,5
6664,GM0503,2019JJ00,1624,1428,140,28,9,13,6
6677,GM0503,2020JJ00,1514,1303,153,23,13,19,3
6700,GM0010,2015JJ00,355,278,53,15,4,5,0
6713,GM0010,2016JJ00,408,330,56,7,7,5,2
6726,GM0010,2017JJ00,398,341,40,7,5,5,0
6739,GM0010,2018JJ00,335,283,43,5,3,1,0
6752,GM0010,2019JJ00,370,288,57,19,3,2,1
6765,GM0010,2020JJ00,361,314,39,5,3,0,0
6788,GM0762,2015JJ00,405,282,97,15,3,5,3
6801,GM0762,2016JJ00,466,347,94,15,2,6,2
6814,GM0762,2017JJ00,401,298,83,9,5,6,0
6827,GM0762,2018JJ00,464,367,84,9,1,2,1
6840,GM0762,2019JJ00,431,321,93,9,3,5,0
